CBO Ocupação 2002;CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Mun Trab;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
212420;62091;03;                  02;  18;355220;02;1516.31;                  01
317105;62015;05;                  06;  34;355220;09;1288.98;                  01
317105;62015;03;                  06;  20;355220;09;1350.00;                  01
317110;62015;04;                  06;  25;355220;09;1529.91;                  01
317110;62091;04;                  07;  28;355220;02;2028.77;                  01
317210;63119;03;                  07;  21;355220;02;827.97;                  01
212420;62091;03;                  07;  24;355220;02;1300.00;                  01
317110;62091;03;                  07;  21;355220;02;2916.00;                  01
317110;62091;04;                  07;  26;355220;02;3348.00;                  01
317110;62023;05;                  07;  33;355220;02;1264.00;                  01
212420;62023;03;                  07;  20;355220;02;1553.74;                  01
212420;62040;07;                  07;  50;355220;02;7143.33;                  01
212420;62040;06;                  07;  46;355220;02;2717.09;                  01
212420;62040;04;                  07;  27;355220;02;7724.76;                  01
212420;62040;04;                  07;  28;355220;02;4691.01;                  01
212420;62040;04;                  07;  28;355220;02;2178.82;                  01
212420;62040;03;                  07;  24;355220;02;3159.11;                  01
212420;62040;05;                  07;  31;355220;02;4830.84;                  01
317210;63119;03;                  07;  22;355220;02;872.00;                  01
212420;62040;03;                  07;  22;355220;02;1231.00;                  01
317110;62023;04;                  07;  28;355220;09;3605.04;                  01
317110;62023;03;                  07;  23;355220;09;1290.27;                  01
317110;62023;03;                  07;  21;355220;09;1290.00;                  01
212420;62091;04;                  07;  28;355220;09;1630.41;                  01
317110;63194;03;                  07;  23;355220;02;1316.87;                  01
317110;62015;05;                  07;  30;355220;02;3821.63;                  01
317110;62015;04;                  07;  27;355220;02;4320.16;                  01
317110;62015;04;                  07;  28;355220;02;3821.63;                  01
142510;62023;05;                  07;  33;355220;02;3762.50;                  01
317105;63194;03;                  07;  23;355220;02;1400.00;                  01
212420;63119;03;                  07;  23;355220;02;2094.05;                  01
212420;62015;03;                  07;  22;355220;02;1550.00;                  01
317110;63119;03;                  07;  23;355220;08;1100.00;                  01
317110;62091;05;                  07;  30;355220;02;1264.00;                  01
212410;62040;05;                  07;  33;355220;02;2042.67;                  01
142520;62091;05;                  07;  30;355220;02;2941.41;                  01
142530;62091;04;                  07;  28;355220;02;3566.16;                  01
212420;62091;05;                  07;  38;355220;02;1910.11;                  01
212420;62091;04;                  07;  26;355220;02;2365.76;                  01
142510;62091;03;                  07;  21;355220;02;1246.58;                  01
212420;62091;03;                  07;  20;355220;02;1536.48;                  01
142505;62091;03;                  07;  23;355220;02;1557.36;                  01
317110;62015;03;                  07;  22;355220;09;1510.00;                  01
212420;62015;05;                  07;  34;355220;02;2097.12;                  01
212420;62015;04;                  07;  25;355220;02;1798.44;                  01
212420;62015;04;                  07;  26;355220;02;1660.61;                  01
212420;62015;03;                  07;  22;355220;02;1575.73;                  01
212420;62015;04;                  07;  25;355220;04;3353.59;                  01
212420;62015;03;                  07;  24;355220;02;3926.75;                  01
212420;62015;04;                  07;  26;355220;02;8229.69;                  01
317210;62031;05;                  07;  32;355220;08;3546.79;                  01
317105;63194;05;                  07;  33;355220;08;1329.07;                  01
317110;62015;04;                  07;  28;355220;09;1703.80;                  01
212420;62023;04;                  07;  26;355220;02;1650.00;                  01
317110;63119;05;                  07;  39;355220;09;1793.03;                  01
317205;62091;05;                  07;  32;355220;04;1264.00;                  01
212420;62091;03;                  08;  24;355220;02;1300.00;                  01
212420;62091;03;                  08;  24;355220;02;1500.00;                  01
317205;62031;04;                  08;  27;355220;09;5259.21;                  01
317110;62031;04;                  08;  26;355220;02;2009.81;                  01
317110;62031;03;                  08;  23;355220;09;2523.36;                  01
317110;62031;04;                  08;  25;355220;02;2865.76;                  01
317110;62031;03;                  08;  22;355220;08;2000.00;                  01
317205;62031;05;                  08;  31;355220;02;5500.00;                  01
317205;62031;05;                  08;  30;355220;09;4000.00;                  01
317110;62031;03;                  08;  21;355220;09;2009.81;                  01
317110;62031;04;                  08;  28;355220;02;2000.00;                  01
317110;62031;03;                  08;  23;355220;02;2012.52;                  01
317110;62031;03;                  08;  21;355220;08;1800.00;                  01
317110;62031;03;                  08;  20;355220;02;1700.00;                  01
317110;62031;03;                  08;  20;355220;06;1800.00;                  01
317110;62031;03;                  08;  21;355220;09;2320.05;                  01
317205;62031;03;                  08;  22;355220;09;2800.32;                  01
317205;62031;03;                  08;  23;355220;06;8729.00;                  01
317110;62031;03;                  08;  22;355220;09;2523.36;                  01
317205;62031;04;                  08;  27;355220;09;3747.83;                  01
317110;62031;03;                  08;  23;355220;09;2188.43;                  01
317110;62031;03;                  08;  22;355220;09;2233.15;                  01
317205;62031;04;                  08;  25;355220;09;5946.17;                  01
317110;62031;04;                  08;  27;355220;02;2276.23;                  01
317110;62031;03;                  08;  22;355220;02;1800.00;                  01
317110;62031;03;                  08;  23;355220;09;2407.49;                  01
317110;62031;03;                  08;  24;355220;02;1800.00;                  01
317110;62031;03;                  08;  24;355220;02;1800.00;                  01
317110;62031;04;                  08;  27;355220;02;2500.00;                  01
317110;62031;03;                  08;  24;355220;08;1945.16;                  01
317110;62031;04;                  08;  29;355220;09;1640.00;                  01
317110;62031;04;                  08;  25;355220;02;1800.06;                  01
317110;62031;03;                  08;  21;355220;08;1800.00;                  01
317110;62031;03;                  08;  21;355220;09;1800.00;                  01
317110;62031;03;                  08;  23;355220;02;2647.84;                  01
317110;62031;03;                  08;  21;355220;09;1800.00;                  01
317110;62031;03;                  08;  24;355220;09;3168.41;                  01
317205;62031;04;                  08;  25;355220;09;4000.00;                  01
317110;62031;03;                  08;  23;355220;09;2559.33;                  01
317205;62031;03;                  08;  23;355220;09;3598.77;                  01
317110;62031;03;                  08;  21;355220;09;2011.28;                  01
317110;62031;03;                  08;  24;355220;02;2009.81;                  01
317110;62031;05;                  08;  31;355220;09;2210.79;                  01
317110;62031;03;                  08;  21;355220;09;2442.85;                  01
317205;62031;03;                  08;  24;355220;09;12289.87;                  01
317205;62031;04;                  08;  25;355220;09;5270.94;                  01
317110;62031;03;                  08;  21;355220;02;2024.70;                  01
317110;62031;05;                  08;  37;355220;02;2500.00;                  01
317205;62031;05;                  08;  35;355220;09;4640.63;                  01
317205;62031;05;                  08;  32;355220;02;3500.00;                  01
317205;62031;04;                  08;  29;355220;08;3149.90;                  01
317110;62031;04;                  08;  27;355220;08;1800.00;                  01
317110;62031;05;                  08;  30;355220;09;1770.00;                  01
317110;62031;04;                  08;  26;355220;02;1800.00;                  01
317110;62031;04;                  08;  29;355220;09;2321.67;                  01
