CBO Ocupação 2002;CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Mun Trab;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
142510;62015;04;                  05;  28;355220;09;4088.00;                  01
317110;62015;03;                  07;  21;355220;09;1501.66;                  01
212420;62040;06;                  07;  45;355220;02;1712.90;                  01
212420;62040;06;                  07;  49;355220;02;9162.26;                  01
212420;62040;05;                  07;  30;355220;04;1541.62;                  01
212420;62040;04;                  07;  26;355220;02;8146.05;                  01
212420;62040;04;                  07;  27;355220;02;3833.48;                  01
212420;62040;04;                  07;  27;355220;02;1726.37;                  01
212420;62040;03;                  07;  23;355220;02;3099.28;                  01
212420;62040;05;                  07;  30;355220;02;5965.00;                  01
212420;62040;03;                  07;  22;355220;02;2166.97;                  01
212420;62015;03;                  07;  24;355220;02;1362.29;                  01
212420;62015;03;                  07;  24;355220;04;2997.63;                  01
212420;62015;03;                  07;  23;355220;02;4017.81;                  01
212420;62015;04;                  07;  25;355220;02;4862.40;                  01
212420;62015;03;                  07;  22;355220;02;1995.44;                  01
317105;63194;03;                  07;  18;355220;02;724.96;                  01
212420;63119;03;                  07;  22;355220;02;2259.47;                  01
317210;63119;03;                  07;  19;355220;02;879.29;                  01
317110;62015;04;                  07;  27;355220;09;981.29;                  01
317110;62023;03;                  07;  19;355220;02;2870.00;                  01
317110;62023;03;                  07;  24;355220;02;1400.00;                  01
212420;62091;03;                  07;  24;355220;02;1100.00;                  01
317110;63119;05;                  07;  38;355220;09;2037.65;                  01
317205;62091;05;                  07;  31;355220;04;1170.00;                  01
317205;63119;05;                  07;  38;355220;02;1170.00;                  01
317110;62091;04;                  07;  27;355220;02;1398.09;                  01
212420;62023;03;                  07;  19;355220;02;1746.02;                  01
317110;62015;04;                  07;  26;355220;02;2140.00;                  01
212420;62031;05;                  07;  31;355220;08;3750.23;                  01
212420;62031;05;                  07;  34;355220;02;2052.39;                  01
317205;62091;03;                  07;  22;355220;02;1140.00;                  01
317110;62091;05;                  07;  32;355220;09;2700.00;                  01
317110;62091;03;                  07;  23;355220;09;2800.00;                  01
317110;62091;04;                  07;  25;355220;09;3100.00;                  01
317115;62015;06;                  07;  40;355220;09;1177.00;                  01
317105;63119;03;                  07;  24;355220;02;756.64;                  01
142510;62023;05;                  07;  32;355220;02;3500.00;                  01
317110;63119;03;                  07;  20;355220;02;1064.00;                  01
317105;63194;03;                  07;  20;355220;02;546.11;                  01
317205;62091;03;                  07;  24;355220;02;1162.57;                  01
317110;62091;04;                  07;  26;355220;02;1870.00;                  01
317110;62091;04;                  07;  28;355220;02;2000.00;                  01
317110;63194;03;                  07;  23;355220;02;1300.00;                  01
317115;63119;03;                  07;  20;355220;02;1320.00;                  01
317115;63119;03;                  07;  20;355220;02;1430.00;                  01
212420;62091;04;                  07;  27;355220;09;1337.50;                  01
317110;62091;06;                  07;  44;355220;02;3450.75;                  01
212420;62091;04;                  07;  26;355220;02;3185.75;                  01
317110;62091;03;                  07;  22;355220;02;1000.00;                  01
212420;62015;03;                  07;  21;355220;02;1567.72;                  01
317110;62023;04;                  07;  27;355220;09;3108.07;                  01
142510;62023;04;                  07;  27;355220;09;5171.33;                  01
